,key,value
339,Nike Air Force 1 Type,339
340,Nike Air Force 1 Type White,340
341,Nike Air Force 1 Type White Black Volt,341
342,Nike Air Huarache Black Black White,342
343,Nike Air Max 1 112 Pack,343
344,Nike Air Max 1 AMS Parra Amsterdam,344
345,Nike Air Max 1 Amsterdam,345
346,Nike Air Max 1 Animal Pack,346
347,Nike Air Max 1 Anniversary Obsidian,347
348,Nike Air Max 1 Anniversary Red (2017),348
349,Nike Air Max 1 Anniversary Royal (2017),349
350,Nike Air Max 1 Atmos Animal Pack 2.0 (2018 All Black Box),350
351,Nike Air Max 1 Atmos Elephant (2017),351
352,Nike Air Max 1 Atmosphere Grey Fresh Mint,352
353,Nike Air Max 1 B Atmos Viotech,353
354,Nike Air Max 1 Chinese New Year Longevity (2020),354
355,Nike Air Max 1 Have a Nike Day,355
356,Nike Air Max 1 Kid Robot (2005),356
357,Nike Air Max 1 London,357
358,Nike Air Max 1 Master,358
359,"Nike Air Max 1 NL SP Clot \""Kiss of Death\"" (2006)",359
360,"Nike Air Max 1 Parra Patta \""Cherrywood\""",360
361,Nike Air Max 1 Patta 5th Anniv Green,361
362,Nike Air Max 1 Susan Missing Link,362
363,Nike Air Max 1 Swipa,363
364,Nike Air Max 1 Tinker Sketch to Shelf,364
365,Nike Air Max 1 White Photo Blue Black,365
366,Nike Air Max 2 Light Atmos,366
367,Nike Air Max 270 React Bauhaus,367
368,Nike Air Max 270 React ENG Travis Scott Cactus Trails,368
369,Nike Air Max 270 White Black,369
370,Nike Air Max 720 Be True (2019),370
371,Nike Air Max 720 Black Neon Streaks,371
372,Nike Air Max 90 Be True (2019),372
373,Nike Air Max 90 Camo Croc,373
374,Nike Air Max 90 Camowabb,374
375,Nike Air Max 90 Green Camo,375
376,Nike Air Max 90 Leather Black,376
377,Nike Air Max 90 Mars Landing,377
378,Nike Air Max 90 OFF-WHITE,378
379,Nike Air Max 90 OFF-WHITE Black,379
380,Nike Air Max 90 OG Volt (2020),380
381,"Nike Air Max 90 Patta \""Homegrown Grass\""",381
382,Nike Air Max 90 Recraft Sail,382
383,Nike Air Max 90 Reverse Duck Camo (2020),383
384,Nike Air Max 90 Triple Red,384
385,Nike Air Max 90 Undefeated White Optic Yellow,385
386,Nike Air Max 90 Viotech OG,386
387,Nike Air Max 90 Warhawk,387
388,Nike Air Max 95 Atmos Animal Pack 2.0 (2018 All Black Box),388
389,Nike Air Max 95 Essential Triple Black,389
390,Nike Air Max 95 Gunsmoke Pink Foam,390
391,Nike Air Max 95 Stash,391
392,Nike Air Max 97 Black White Anthricite,392
393,Nike Air Max 97 Country Camo (France),393
394,Nike Air Max 97 Country Camo (Germany),394
395,Nike Air Max 97 Country Camo (Italy),395
396,Nike Air Max 97 Country Camo (UK),396
397,Nike Air Max 97 Country Camo (USA),397
398,Nike Air Max 97 Cristiano Ronaldo Portugal Patchwork,398
399,Nike Air Max 97 Gold Medal,399
400,Nike Air Max 97 Gundam,400
401,Nike Air Max 97 Have a Nike Day,401
402,Nike Air Max 97 Neon Seoul,402
403,Nike Air Max 97 Nintendo 64,403
404,Nike Air Max 97 Off-White,404
405,Nike Air Max 97 Shanghai Kaleidoscope,405
406,Nike Air Max 97 South Beach Alternate,406
407,Nike Air Max 97 Triple White Wolf Grey,407
408,Nike Air Max 97 Ultra 17 Skepta,408
409,Nike Air Max 98 Supreme Black,409
410,Nike Air Max Lunar90 SP Moon Landing,410
411,Nike Air More Uptempo Olympic (2020),411
412,"Nike Air More Uptempo Supreme \""Suptempo\"" Black",412
413,"Nike Air More Uptempo Supreme \""Suptempo\"" Gold",413
414,"Nike Air More Uptempo Supreme \""Suptempo\"" Red",414
415,Nike Air Presto Off-White,415
416,Nike Air Presto Off-White Black (2018),416
417,Nike Air Presto Off-White White (2018),417
418,Nike Air Tailwind 79 Stranger Things Sail Upside Down Pack,418
419,Nike Air Tech Challenge II Wimbledon (2013),419
420,Nike Air VaporMax 2019 Triple Black,420
421,Nike Air VaporMax 2019 White University Gold Wolf Grey,421
422,Nike Air VaporMax Clot Bright Crimson,422
423,Nike Air VaporMax Flyknit 3 Oreo,423
424,Nike Air VaporMax Flyknit 3 White Pure Platinum,424
425,Nike Air VaporMax Flyknit 3.0 Triple Black,425
426,Nike Air VaporMax Off-White,426
427,Nike Air VaporMax Off-White Black,427
428,Nike Air VaporMax Oreo,428
429,Nike Air VaporMax Plus Paris Works in Progress,429
430,Nike Air VaporMax Plus Triple Black,430
431,Nike Air VaporMax Plus Triple Red,431
432,Nike Air VaporMax Plus University Red Black,432
433,Nike Air Vapormax Off White 2018,433
434,Nike Air Yeezy 1 Blink,434
435,Nike Air Yeezy 1 Zen Grey,435
436,Nike Air Yeezy 2 Pure Platinum,436
437,Nike Air Yeezy 2 Red October,437
438,Nike Air Yeezy 2 Solar Red,438
439,Nike Air Zoom Alphafly Next% Black Electric Green,439
440,Nike Air Zoom Generation Black White Retro,440
441,Nike Air Zoom Generation Wheat (All-Star),441
442,Nike Air Zoom Spiridon Cage 2 Stussy Black,442
443,Nike Air Zoom Spiridon Cage 2 Stussy Fossil,443
444,Nike Air Zoom Spiridon Cage 2 Stussy Pure Platinum,444
445,Nike Blazer Mid 77 Brick Red,445
446,Nike Blazer Mid 77 Habanero Red,446
447,Nike Blazer Mid 77 Vintage Racer Blue,447
448,Nike Blazer Mid 77 Vintage White Black,448
449,Nike Blazer Mid Stranger Things Independence Day Pack,449
450,Nike Blazer Mid sacai Black Grey,450
451,Nike Blazer Mid sacai Snow Beach,451
452,Nike Blazer Mid sacai White Grey,452
453,Nike Classic Cortez Stranger Things Independence Day Pack,453
454,Nike Classic Cortez Stranger Things Sail Upside Down Pack,454
455,Nike Daybreak Undercover Black,455
456,Nike Daybreak Undercover Blue Jay,456
457,Nike Dunk High Pro SB Supreme Blue Stars,457
458,Nike Dunk High Pro SB Supreme Red Stars,458
459,Nike Dunk Low Brazil (2020),459
460,Nike Dunk Low Off-White Pine Green,460
461,Nike Dunk Low Off-White University Gold Midnight Navy,461
462,Nike Dunk Low Off-White University Red,462
463,Nike Dunk Low Plum (2020),463
464,Nike Dunk Low SP Kentucky (2020),464
465,Nike Dunk Low SP Syracuse (2020),465
466,Nike Dunk Low Viotech (2019),466
467,Nike Dunk SB Low Blue Lobster,467
468,"Nike Dunk SB Low Diamond Supply Co. \""Tiffany\""",468
469,Nike Dunk SB Low Paris,469
470,Nike Dunk SB Low Staple NYC Pigeon,470
471,Nike Dunk SB Low Stussy Cherry,471
472,Nike Dunk SB Low Supreme  Black Cement (2002),472
473,Nike Dunk SB Low Supreme  Red Cement (2012),473
474,Nike Dunk SB Low Supreme  White Cement (2002),474
475,Nike Dunk SB Low What the Dunk,475
476,Nike Dunk SB Low Yellow Lobster,476
477,Nike Flyknit Lunar1+ Supreme Black,477
478,Nike Flyknit Trainer Multi-Color,478
479,Nike HyperAdapt 1.0 Black (1st Release Pair Special Box),479
480,Nike Hyperdunk Marty McFly 2015,480
481,Nike KD 4 Nerf,481
482,Nike KD 4 Weatherman,482
483,Nike Kobe 10 Elite HTM Shark Jaw,483
484,Nike Kobe 4 Protro Undefeated Los Angeles Lakers,484
485,Nike Kobe 4 Protro Undefeated Milwaukee Bucks,485
486,Nike Kobe 4 Protro Undefeated Phoenix Suns,486
487,Nike Kobe 4 Protro Undefeated San Antonio Spurs,487
488,Nike Kobe 5 Protro Chaos,488
489,Nike Kobe 6 Grinch,489
490,Nike Kyrie 2 Low Spongebob Mr Krabs,490
491,Nike Kyrie 4 Confetti,491
492,Nike Kyrie 4 Lucky Charms,492
493,Nike Kyrie 5 Spongebob Patrick,493
494,Nike Kyrie 5 Spongebob Squidward,494
495,Nike Kyrie 6 Concepts Khepri (Regular Box),495
496,Nike LD Waffle Sacai Black Nylon,496
497,Nike LD Waffle Sacai Blue Multi,497
498,Nike LD Waffle Sacai White Nylon,498
499,Nike LD Waffle sacai Black,499
500,Nike LD Waffle sacai Pine Green,500
501,Nike LD Waffle sacai Summit White,501
502,Nike LeBron 15 Lifestyle KITH Concrete,502
503,Nike LeBron 15 Lifestyle KITH Stained Glass,503
504,Nike LeBron 15 Performance KITH Rose Gold,504
505,Nike LeBron 16 Low Atmos Safari,505
506,Nike LeBron 16 Watch the Throne,506
507,Nike LeBron 17 Black White,507
508,Nike LeBron 17 Graffiti,508
509,Nike LeBron 17 Monstars,509
510,Nike LeBron 4 Fruity Pebbles,510
511,Nike LeBron 4 Graffiti NYC,511
512,Nike LeBron 7 Christ the King (CTK),512
513,Nike LeBron 7 Fairfax Away (2020),513
514,Nike LeBron 7 Media Day,514
515,Nike LeBron 7 Media Day (PS),515
516,Nike LeBron 8 112 Pack (Clark Kent),516
517,Nike LeBron 8 South Beach (Pre-Heat),517
518,Nike LeBron X Celebration Pack,518
